chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
AMZN,2023-06-09,126.0000,call,buy,2023-06-05T14:45:39.405179Z,debit,13.00000,limit,long_call,,1.55000000,13.00000
META,2023-06-23,260.0000,call,buy,2023-06-05T14:30:07.095574Z,debit,1.00000,limit,long_call,,16.90000000,1.00000
AAPL,2023-06-16,180.0000,call,sell,2023-06-05T13:45:21.670958Z,credit,4.00000,limit,,long_call,5.85000000,4.00000
AAPL,2023-06-16,180.0000,call,buy,2023-06-05T13:34:15.594028Z,debit,4.00000,limit,long_call,,5.60000000,4.00000
TSLA,2023-06-09,200.0000,call,sell,2023-06-02T14:41:28.672209Z,credit,1.00000,limit,,long_call,16.00000000,1.00000
TSLA,2023-06-09,200.0000,call,sell,2023-06-02T14:39:21.350216Z,credit,1.00000,limit,,long_call,16.00000000,1.00000
TSLA,2023-06-09,200.0000,call,sell,2023-06-02T14:38:49.473168Z,credit,1.00000,limit,,long_call,15.90000000,1.00000
TSLA,2023-06-09,200.0000,call,sell,2023-06-02T14:37:26.069032Z,credit,1.00000,limit,,long_call,15.75000000,1.00000
TSLA,2023-06-09,200.0000,call,sell,2023-06-02T14:36:13.350540Z,credit,1.00000,limit,,long_call,15.80000000,1.00000
TSLA,2023-06-09,200.0000,call,buy,2023-06-02T14:32:18.778135Z,debit,5.00000,limit,long_call,,15.70000000,5.00000
NVDA,2023-06-16,385.0000,call,sell,2023-06-02T14:12:28.369276Z,credit,1.00000,limit,,long_call,21.20000000,1.00000
NVDA,2023-06-16,385.0000,call,sell,2023-06-02T14:09:11.570666Z,credit,1.00000,limit,,long_call,20.80000000,1.00000
NVDA,2023-06-16,385.0000,call,buy,2023-06-02T13:46:55.264178Z,debit,2.00000,limit,long_call,,20.90000000,2.00000
NFLX,2023-06-09,380.0000,call,sell,2023-06-02T13:45:34.881696Z,credit,1.00000,limit,,long_call,22.80000000,1.00000
TSLA,2023-06-09,195.0000,call,sell,2023-06-02T13:40:28.402978Z,credit,2.00000,limit,,long_call,19.00000000,2.00000
TSLA,2023-06-09,195.0000,call,buy,2023-06-01T19:45:38.004349Z,debit,2.00000,limit,long_call,,15.25000000,2.00000
NFLX,2023-06-09,380.0000,call,buy,2023-06-01T14:02:02.730131Z,debit,1.00000,limit,long_call,,26.80000000,1.00000
META,2023-06-09,262.5000,call,sell,2023-06-01T13:40:39.918942Z,credit,3.00000,limit,,long_call,10.65000000,3.00000
META,2023-06-09,262.5000,call,buy,2023-06-01T13:32:51.543944Z,debit,3.00000,limit,long_call,,9.50000000,3.00000
TSLA,2023-06-02,180.0000,put,sell,2023-05-30T14:00:34.915812Z,debit,5.00000,limit,,short_put_spread,0.48000000,5.00000
TSLA,2023-06-02,185.0000,put,buy,2023-05-30T14:00:34.915812Z,debit,5.00000,limit,,short_put_spread,0.48000000,5.00000
META,2023-06-02,257.5000,call,sell,2023-05-30T13:59:40.780774Z,credit,1.00000,limit,,long_call,9.20000000,1.00000
META,2023-06-02,257.5000,call,sell,2023-05-26T19:21:51.716469Z,credit,1.00000,limit,,long_call,7.10000000,1.00000
META,2023-06-02,257.5000,call,buy,2023-05-26T19:16:30.677779Z,debit,2.00000,limit,long_call,,7.40000000,2.00000
META,2023-06-02,257.5000,call,sell,2023-05-26T19:03:31.220708Z,credit,1.00000,limit,,long_call,7.50000000,1.00000
AMZN,2023-06-02,118.0000,call,sell,2023-05-26T19:02:48.912650Z,credit,2.00000,limit,,long_call,4.00000000,2.00000
META,2023-06-09,250.0000,call,sell,2023-05-26T19:01:58.213794Z,credit,1.00000,limit,,long_call,14.70000000,1.00000
META,2023-06-02,257.5000,call,sell,2023-05-26T19:01:13.238544Z,credit,2.00000,limit,,long_call,7.20000000,2.00000
AMZN,2023-06-02,118.0000,call,sell,2023-05-26T19:00:49.780003Z,credit,10.00000,limit,,long_call,3.90000000,10.00000
AMZN,2023-06-02,118.0000,call,buy,2023-05-26T18:19:00.881640Z,debit,5.00000,limit,long_call,,3.95000000,5.00000
AMZN,2023-06-02,118.0000,call,sell,2023-05-26T17:46:38.764366Z,credit,8.00000,limit,,long_call,3.80000000,8.00000
META,2023-06-09,250.0000,call,sell,2023-05-26T17:42:00.182632Z,credit,2.00000,limit,,long_call,12.20000000,2.00000
META,2023-06-02,252.5000,call,sell,2023-05-26T17:40:55.436428Z,credit,1.00000,limit,,long_call,8.50000000,1.00000
AMZN,2023-06-02,118.0000,call,buy,2023-05-26T17:10:59.097697Z,debit,10.00000,limit,long_call,,4.30000000,10.00000
META,2023-06-02,257.5000,call,buy,2023-05-26T17:05:20.548650Z,debit,3.00000,limit,long_call,,5.85000000,3.00000
META,2023-06-09,250.0000,call,buy,2023-05-26T17:04:27.592391Z,debit,3.00000,limit,long_call,,12.90000000,3.00000
AMZN,2023-06-02,118.0000,call,buy,2023-05-26T16:53:15.933146Z,debit,5.00000,limit,long_call,,3.95000000,5.00000
META,2023-06-02,252.5000,call,buy,2023-05-26T16:22:10.189326Z,debit,1.00000,limit,long_call,,8.50000000,1.00000
